phrase,prompt
My back hurts a lot when I bend,Back pain
"My body feels weak although I eat a lot, why?",Body feels weak
"i was playing basketball yesterday, i have sprained ankle",Injury from sports
I feel pain in my neck while I'm working.,Neck pain
My chest break out with red pimples and whiteheads.,Acne
I feel cold although we are in summer.,Feeling cold
i feel dizzy after severe diarrhea,Feeling dizzy
I can't sleep I have a hard cough,Cough
I travelled by plane a few days ago and this time during landing my ears remained clogged and painful.,Ear ache
My biceps started aching after I went to the gym,Muscle pain
I could not exercise because of my knee pain,Knee pain
I have a sharp pain in my neck,Neck pain
I have blurred vision.,Blurry vision
My arm hurts when I stretch,Muscle pain
I feel pain in the lower back,Back pain
I feel lightheaded when I stand up,Feeling dizzy
I feel pain in my knee when I climb the stairs.,Joint pain
My neck feels stiff,Neck pain
I have an open wound in my arm,Open wound
I feel a burning sensation in my shoulder muscle.,Muscle pain
My body feels weak and I tried to make it relax but it stills pain me,Body feels weak
I feel pain when i think of her,Emotional pain
I feel lightheaded,Feeling dizzy
"The pain is intense especially when I go down the stairs, it feels like something has snapped inside my knee.",Knee pain
i'm injured i can't play sports,Injury from sports
"When I walk up a flight of stairs, my right knee hurts.",Knee pain
"I feel like I just can't cope anymore, I feel overwhelmed and like I just can't get a break.",Emotional pain
"I am struggling to bear weight on my knee, when i stand straight I feel and hear a loud popping noise.",Knee pain
I have the impression of having no strength in my body,Body feels weak
My skin is very dry and peeling.,Skin issue
I feel a strange and powerful pain inside my rib cage,Heart hurts
i have shoulder pain after doing any home work.,Shoulder pain
I have a skin rash after eating an ice-cream.,Skin issue
"I feel chilly, like an ice cube.  My sister said that she needs several blankets to cover her so that she is warm enough.",Feeling cold
I can't stand with this horrible feeling in my shoulder,Shoulder pain
When I remember her I feel down,Emotional pain
When I wake up in the morning I feel a soreness in my body,Muscle pain
I cut my hand a couple of weeks ago and even though I keep using an antibiotic cream it's not getting better.,Infected wound
I get an ear ache when it is cold,Ear ache
It feels like someone is hitting my head with a hammer.  I feel pain on the top of my head and it throbs.,Head ache
"surgical wounds red, firing pus, painful and hot to the touch",Infected wound
I feel dizzy when i make sudden movements,Feeling dizzy
"My body feels weak after my first day in the gym, why?",Body feels weak
I've been feeling very sad lately,Emotional pain
My ear ache when I'm listening to music.,Ear ache
"My hair is falling without a reason, I can see a lot of hair on my working desk.",Hair falling out
I feel dizzy and out of sight,Feeling dizzy
I feel a sharp pain in my ankle joint when I stand.,Joint pain
I get clusters of whiteheads and blackheads on my back.,Acne
I feel a pain in my neck,Neck pain
"i can't move my leg, there is pain in the joint",Joint pain
My muscle in my shoulder burns when I move my arm.,Muscle pain
I have a mental suffering,Emotional pain
I often get a stomach ache after I eat.  I haven't been able to pinpoint which foods might be the trigger.,Stomach ache
My chest hurts when I smoke,Internal pain
I have a break in the skin between my thumb and index finger and it will not close.,Open wound
I have pimples in patches along with a lot of redness on my face.,Acne
I have terrible pain in my heart,Heart hurts
I need a kind of cream wich make my muscles more relaxed,Muscle pain
Yesterday I had a shouder pain,Shoulder pain
"I used to be out of breath after going up a dozen of stairs, but now I struggle to breath even when I sit down.",Hard to breath
I can't stand up or sit down I have a pain in my back that annoys me,Back pain
I feel like my heart is on fire.,Heart hurts
My knees swell right below the knee cap and hurt when I put weight on them.,Knee pain
There is so much pain when I move my arm.,Shoulder pain
I feel pain when parting loved ones,Emotional pain
When get up I found that I have a stomach ache  and I tried to take medecine but my stomach still hurting me,Stomach ache
I have blurry vision after I used a wrong medicine.,Blurry vision
my abdominal muscles have great pain since i was at GYM,Muscle pain
The crushing sensation on my heart leaves me breathless.,Heart hurts
"i was diagnosed with pneumonia, i can't breath easily.",Hard to breath
there is acne on my face,Acne
I tried to put my glasses to see more clear but cant find any change,Blurry vision
I have shooting pain in my kneecap after working out.,Knee pain
I chopped off the tip of my finger while I was cutting some cardboard and I cannot stop the bleeding.,Open wound
"My hair is falling without a reason, I can see a lot of hair on my working desk.",Hair falling out
using hair tonic,Hair falling out
When i get up i see my skin vague,Skin issue
"I fell through a window while I was cleaning it and I have a shard of glass stuck in my left eye, I think it is pretty serious, please help!",Open wound
My knee hurts when I walk,Knee pain
I carried a heavy bag yesterday and when I get up today I felt a great shoulder pain.,Shoulder pain
I had a collision while playing soccer.  My knee buckled and now it's unstable.,Injury from sports
my left side aches much,Internal pain
I can't stand with this horrible feeling in my stomach,Stomach ache
I often get a stomach ache after I eat.  I haven't been able to pinpoint which foods might be the trigger.,Stomach ache
"There must be something wrong with my blood circulation, I have to wear socks even on the hottest days, my toes are frozen!",Feeling cold
I'm feeling nauseous,Stomach ache
I can't do anything I feel a weak in my body,Body feels weak
I don't know why I'm constantly sad.,Emotional pain
My back hurts me and i can't bend it or walk,Back pain
i can't ride my car at night because i have blurry vision.,Blurry vision
using hair tonic,Hair falling out
I have a very rash sensation close to my arms,Skin issue
"I feel like I just can't cope anymore, I feel overwhelmed and like I just can't get a break.",Emotional pain
There's swelling in my neck and it hurts.,Neck pain
I feel really sad all the time.,Emotional pain
Something dark is there on my arm,Skin issue
i have a great pain in my foot like thrombing pain with relaxing my pain releif,Foot ache
"My face has broken out in painful red spots and lumps, that no matter how much I clean my face don't seem to be going away.",Acne
My skin is very dry and peeling.,Skin issue
I knocked my foot and it really hurts.,Foot ache
"My head hurts and I lose the sensation in my face, then lose sight in my eye",Head ache
There's swelling in my neck and it hurts.,Neck pain
I have a dull ache in my stomach.  It gets worse after I eat.,Internal pain
My heart is beating fast and it scares me.,Heart hurts
I have a dull ache in  my lower back which makes it difficult to move,Back pain
I cut myself and I'm bleeding.,Open wound
Is pimples a skin disease?,Acne
I have front head pain and when I get it the light bothers me.,Head ache
Sharp pain and heavy breathing,Internal pain
I can hardly move my neck.  It hurts.,Neck pain
"I cut my finger opening a can, it won't stop bleeding and the wound is gaping and open",Open wound
"I think there's something wrong with my wound, it does not seem to heal like it should.",Infected wound
I have a powerful pain inside my neck,Neck pain
I can`t stop coughing.,Cough
I have constant stomach pain and bloating.,Internal pain
I feel a bone-on-bone pain in my knees when I climb stairs.,Joint pain
"i am feeling so dizzy, body is so fragile.",Body feels weak
My wound was infected when i was planting some flowers in my garden,Infected wound
This long scar on my left buttock is from falling off my mountain bike.,Injury from sports
I can't move my head up and down.,Neck pain
glass broken and wound my leg badly the wound is so wide,Open wound
My acne gets worse when it is hot,Acne
My arm hurts when I stretch,Muscle pain
I do not feel better in my muscles,Muscle pain
I feel a huge emotional pain after I broke up with my girlfriend.,Emotional pain
I'm feeling nauseous,Stomach ache
my ear hurts me badly,Ear ache
When I think of my parents I feel pain,Emotional pain
My body feels weak and i think that my face is fade and i can't sleep well,Body feels weak
The knee feels like it rusted and I suddenly cannot bend it anymore.,Knee pain
There is pain in the muscles I do not know caused,Muscle pain
I had a pain in my knee when I was swimming,Knee pain
i'm injured i can't play sports,Injury from sports
I don't have the energy to do the things that I used to,Body feels weak
I get clusters of whiteheads and blackheads on my back.,Acne
I have internal pain whenever I come down with a cold.,Internal pain
"My stomach aches when I eat hot food, why?",Stomach ache
Hearing any loud sounds makes my ear aches,Ear ache
"The pain is intense especially when I go down the stairs, it feels like something has snapped inside my knee.",Knee pain
When i get up i see my skin vague,Skin issue
He was discovered to have an open wound.,Open wound
My head ache since I woke up this morning.,Head ache
When i eat i feel my stomach hurts,Stomach ache
"The last time I clipped my toenails, I cut them too short and now I have an infected nail.",Infected wound
I can't stand up or sit down I have a pain in my back that annoys me,Back pain
when i was washing my hair it was falling out heavily,Hair falling out
My nose is congested all the time and there's this gluey secretion in my throat that makes it impossible for me to sleep. I often have to nap sitting down.,Hard to breath
My head hurts when I'm doing this.,Head ache
When I wake up I am feeling cold,Feeling cold
i have a pain in my elbow joint,Joint pain
There feels like a swollen knot at my shoulderblade with pain shooting from that,Shoulder pain
When my grand father died I felt a hard emotional pain,Emotional pain
I don't have full range of motion with my arms,Shoulder pain
I have a pain in my head,Head ache
"redness, swelling, and difficulty walking",Knee pain
i have injured myself during the soccer match,Injury from sports
i was travelling by ship and i feel dizzy.,Feeling dizzy
I have blurry vision after I used a wrong medicine.,Blurry vision
itch at front and center of scalp,Hair falling out
"I have a blurry vision and i can't see in the darkness , what is the reason doctor ?",Blurry vision
I have a ear ache when I go to the pool,Ear ache
My chest acne breaks out and never clears up.,Acne
I feel a burning sensation in my guts about 2 hours after each meal.,Stomach ache
When I force my eyes to view I have blurry vision.,Blurry vision
i have disterbance in my emotion,Emotional pain
"I feel a pain on the left side of my chest, where my heart is",Heart hurts
When I stand up too quickly I start to feel dizzy and light-headed,Feeling dizzy
when i raise my hand i feel pain in my shoulder.,Shoulder pain
"I feel dizzy when I set in-front of my laptop for an hour or two, what possibly could be the reason?",Feeling dizzy
I do not know why I feel cold,Feeling cold
i'm disappointed,Emotional pain
My daughter had her eyebrows threaded and it pulled an opening of skin in one of her brows that is now puffy and oozing.,Infected wound
"Sometimes when it is cold outside, my face hurts, especially around the pimples that are ready to pop.",Acne
When I bend over I get a shooting pain down my back,Back pain
I feel a soreness in my knees when I walk,Joint pain
I don't have full range of motion with my arms,Shoulder pain
I feel very hard to breathe,Hard to breath
I have a great stomach ache and i can't eat any thing,Stomach ache
I felt my heart hurts when I ran for along distance,Heart hurts
I usually have a bad cough when I get flu.,Cough
I lose a lot of my hair,Hair falling out
My head hurts when I'm doing this.,Head ache
"It's hard to stand up, and I'm moving very slowly",Body feels weak
I fell off my bike and since then I had hard  knee pain,Knee pain
I have a pain in my head,Head ache
I feel like my heart is on fire.,Heart hurts
"When I walk up a flight of stairs, my right knee hurts.",Knee pain
"I have a blurry vision during my swimming training in the pool, why?",Blurry vision
I feel pain in my knee when I climb the stairs.,Joint pain
"i am feeling so dizzy, body is so fragile.",Body feels weak
Oh my heart hurts me I tried to be calm and I can't,Heart hurts
I have a sharp pain in my neck,Neck pain
i can't rotate my neck,Neck pain
I tried alot of cream but i still feel the same skin problem,Skin issue
I walk every day but now I get short of breath after going only a short way.,Hard to breath
I have an open wound in my arm,Open wound
itch at front and center of scalp,Hair falling out
I break out on my face very frequently,Acne
I have an internal pain I cannot describe,Internal pain
glass broken and wound my leg badly the wound is so wide,Open wound
There is pain in the muscles I do not know caused,Muscle pain
I get clusters of whiteheads and blackheads on my back.,Acne
I feel shoulder pain at intervals of time.,Shoulder pain
There is a constant tickle in my throat,Cough
My cough is very heavy and I have mucus.,Cough
I notice a lot more hair coming out than usual when I brush my hair,Hair falling out
I feel fluid trying to come up when I cough.,Cough
I feel a soreness in my knees when I walk,Joint pain
My knee hurts when I play squash,Knee pain
"I couldn't stop shaking or unclench my jaw, that's how cold I was.",Feeling cold
My back hurts me and i can't bend it or walk,Back pain
I have a blurry vision after my head was hit yesterday.,Blurry vision
"There must be something wrong with my blood circulation, I have to wear socks even on the hottest days, my toes are frozen!",Feeling cold
I've always been very active but now I just don't have the strength or energy to go for even a short walk.,Body feels weak
"I get tired too fast, I can barely put on my clothes in the morning.",Body feels weak
My stomach feels full and upset  and bloating after big meals.,Stomach ache
I have a rash and it itches very bad.,Skin issue
I have constant stomach pain and bloating.,Internal pain
My hair is falling out in bunches.,Hair falling out
What helps cuts heal faster?,Open wound
I cut myself and I'm bleeding.,Open wound
My sore isn't healing well and it's been like this for two weeks.,Open wound
There's swelling in my neck and it hurts.,Neck pain
My knee doesn't want to bend well.,Knee pain
There is a tingling sensation in my neck.,Neck pain
"When I walk up a flight of stairs, my right knee hurts.",Knee pain
After walking I have some pain under my foot,Foot ache
I feel a strange and powerful pain inside my rib cage,Heart hurts
is my cut infected or just healing?,Infected wound
How do you know if you have a torn meniscus in your knee?,Knee pain
When I stand up too quickly I start to feel dizzy and light-headed,Feeling dizzy
I don't have full range of motion with my arms,Shoulder pain
I wish this excruciating feeling of loss could go away.,Emotional pain
I used alot of pain killer to get better but i still feel the same back pain,Back pain
"I can't stand up, I feel my brain is moving inside my skull.",Head ache
I feel pain in my shoulders when I write on the keyboard.,Shoulder pain
My head ache since I woke up this morning.,Head ache
"The last time I clipped my toenails, I cut them too short and now I have an infected nail.",Infected wound
I get breakouts on my chest with red patches that get more intense when i get hot.,Acne
There is a sharp pain in my bicep. I have tried to apply pain relief cream but it does not help.,Muscle pain
I can't stop coughing,Cough
My back hurts a lot when I bend,Back pain
I had a pain in my knee when I was swimming,Knee pain
I wake up with a stiff neck every morning.  Massage helps but then a couple of days later it's back again.,Neck pain
Sterilizer for the eye,Blurry vision
Hearing any loud sounds makes my ear aches,Ear ache
"My mind feels very sad, as if it hurts.  The way I feel in my head is awful and when I think about my break-up, I cry with sadness.",Emotional pain
I knocked my foot and it really hurts.,Foot ache
When I do hard exercises I feel great pain in my muscles.,Muscle pain
My infected wound caused a fever,Infected wound
i feel head ache,Head ache
All of a sudden I felt dizzy when I stood up.,Feeling dizzy
My son has a lot of acne.,Acne
I have a foot ache after running 500m with my running shoes.,Foot ache
my back hurts me a lot,Back pain
My son got a tattoo several weeks ago and the skin around it is raised and hot and it looks infected.,Infected wound
My son nicked his neck with an old razor and that spot has become inflamed and looks like it is infected.,Infected wound
I have a sharp pain in my ear,Ear ache
There is a constant tickle in my throat,Cough
The wound is still open,Open wound
red flushes accompanied with itchy,Skin issue
My hair is falling out in huge amount,Hair falling out
"my child has cough all night, she can't sleep",Cough
My knee catches and hurts when I first stand up after sitting.,Knee pain
My ankle joint throbs when I put pressure on my foot.,Joint pain
I have a back pain since I turned 70 years old.,Back pain
I'm very worried that I'll go bald soon. Am I very sick?,Hair falling out
when i wake up in the morning i feel dizzy,Feeling dizzy
I have a headache almost every day,Head ache
I feel aching on my insides.,Internal pain
The joints in my fingers are painful in the morning.,Joint pain
Everything looks like beeing in a smoky area.,Blurry vision
i feel sad,Emotional pain
I can't walk well I have an ache in my foot,Foot ache
I'm not hearing well I have problem with my ear,Ear ache
I have a pain in my muscle,Muscle pain
There is a sharp pain in my bicep. I have tried to apply pain relief cream but it does not help.,Muscle pain
"My heart hurts while I'm sad, why?",Heart hurts
"i was injured during football match, i was diagnosed with Cruciate ligament",Injury from sports
All my body is in a bad case and i need a good treatment,Joint pain
It's hard to see things,Blurry vision
I have pain in my stomach,Stomach ache
Can't keep focus,Head ache
There is a sharp pain in my ear whenever I do this.,Ear ache
I've been feeling very sad lately,Emotional pain
Stomach pain after drinking milk,Stomach ache
I must see a doctor i have an open wound,Open wound
I have a skin rash after eating an ice-cream.,Skin issue
My shoulder hurts when I try to reach something above my head.,Shoulder pain
It feels like someone is hitting my head with a hammer.  I feel pain on the top of my head and it throbs.,Head ache
"I am struggling to bear weight on my knee, when i stand straight I feel and hear a loud popping noise.",Knee pain
"My husband left me for another woman, my heart hurts so badly to the point I can't eat or sleep.",Heart hurts
I think there's fluid in my ears.,Ear ache
My skin is very dry and peeling.,Skin issue
My ear is ringing.,Ear ache
There is a tingling sensation in my neck.,Neck pain
"My face has broken out in painful red spots and lumps, that no matter how much I clean my face don't seem to be going away.",Acne
When I'm tired I feel my head heavy,Head ache
What's the symptoms of appendicitis?,Internal pain
My face is all broken out with pimples.,Acne
My knee feels weak and it gave way the other day at the top of the stairs.  Luckily there was a rail to hold on to.,Knee pain
After eating  I have burning sensation inside of me.,Stomach ache
When I play sports  I have some burning sensation in my spine,Back pain
When I get out of bed in the morning my body feels very weak.,Body feels weak
It feels like my heart is going to leap out of my body. It hurts.,Heart hurts
What helps cuts heal faster?,Open wound
In the morning my respiration is loud.,Hard to breath
I was very active in sports but now my body is feeling pain.,Injury from sports
"My mind feels very sad, as if it hurts.  The way I feel in my head is awful and when I think about my break-up, I cry with sadness.",Emotional pain
I think I sprained my ankle it really hurts.,Injury from sports
When i'm driving my eyes see in double,Blurry vision
I have the impression of having no strength in my body,Body feels weak
I cut my hand a couple of weeks ago and even though I keep using an antibiotic cream it's not getting better.,Infected wound
I had a sharp pain in my stomach,Stomach ache
"I cut my finger opening a can, it won't stop bleeding and the wound is gaping and open",Open wound
My skin is itchy and inflamed,Skin issue
Stomach pain after drinking milk,Stomach ache
When I stand up too quickly I start to feel dizzy and light-headed,Feeling dizzy
There is an injured person,Infected wound
I broke my ankle while doing rock climbing in the Carpathians.,Injury from sports
I'm in need for a treatment for my hair fall,Hair falling out
"I've tried reading books, but nothing can cheer me up.",Emotional pain
My right shoulder clicks when I move my arm.,Shoulder pain
I can`t stop coughing.,Cough
There is a sharp pain in my ear whenever I do this.,Ear ache
I have an indigestion,Stomach ache
When I wake up in the morning I feel a soreness in my body,Muscle pain
Can't keep focus,Head ache
i have a great pain in my foot like thrombing pain with relaxing my pain releif,Foot ache
I have a sharp pain in my abdomen.,Internal pain
I feel a bone-on-bone pain in my knees when I climb stairs.,Joint pain
I feel like there is something swollen and inflamed at the back of my knee.,Knee pain
My heart is beating fast and it scares me.,Heart hurts
It's hard to see things,Blurry vision
I have front head pain and when I get it the light bothers me.,Head ache
Need to scratch my skin every minute,Skin issue
"i was injured during football match, i was diagnosed with Cruciate ligament",Injury from sports
I had a sharp pain in my stomach,Stomach ache
"My daughter was bit by her cat and now her hand is sore, red and swollen and the wound is oozing liquid.",Infected wound
I have pain in my stomach,Stomach ache
I can't stand with this horrible feeling in my shoulder,Shoulder pain
It hurts when I raise my arm up,Shoulder pain
I get an ear ache when it is cold,Ear ache
I broke my ankle while doing rock climbing in the Carpathians.,Injury from sports
I had a cut that was stitched together but it is not healing.  It is oozing green puss and burns.,Infected wound
When I stand up too quickly I start to feel dizzy and light-headed,Feeling dizzy
I have a lot of mucus when I cough.,Cough
When I eat too much sugar my body gets weak and dizzy.,Body feels weak
My hair is falling when I am combing it.,Hair falling out
My chest hurts when I smoke,Internal pain
I complain alot with skin allergy,Skin issue
My neck feels stiff,Neck pain
"when i get up, i feel dizzy and fall down.",Feeling dizzy
Whenever I stand up I feel dizzy.,Feeling dizzy
Chronic bowel Pain,Internal pain
It feels like I can't take a deep breath,Hard to breath
I have a hair shortage,Hair falling out
my hair falling out,Hair falling out
I'm suffering from sharp cough Accompanied by  phlegm,Cough
My television and computer seem out of focus even though I have new glasses.,Blurry vision
I feel depressed when I see my hair falling out,Hair falling out
My back hurts so much I can't bend down to tie my shoelaces.,Back pain
"When I go to stand, my head starts swirling",Feeling dizzy
My head gets dizzy when I try to get up.,Feeling dizzy
When I eat sugar I notice my vision blurs.,Blurry vision
I have a dull ache in  my lower back which makes it difficult to move,Back pain
Can't keep focus,Head ache
All my body is in a bad case and i need a good treatment,Joint pain
I have an indigestion,Stomach ache
When I remember her I feel down,Emotional pain
i have a strong shoulder pain,Shoulder pain
My skin is itchy and inflamed,Skin issue
My joints ache whenever it is cold,Joint pain
I feel a bone-on-bone pain in my knees when I climb stairs.,Joint pain
My acne is really embarassing. It's so read.,Acne
I have the impression of having no strength in my body,Body feels weak
My muscles in my lower back are aching.,Muscle pain
I feel like the room is spinning,Feeling dizzy
"When I move on my shoulder, pain shoots down my arm",Shoulder pain
"Had I stepped on a needle it wouldn't have hurt so much, like this damned spur in my heel.",Foot ache
I have blurry vision after I used a wrong medicine.,Blurry vision
I need a kind of cream wich make my muscles more relaxed,Muscle pain
I tried to put my glasses to see more clear but cant find any change,Blurry vision
The feeling of coughing increases in winter's reach,Cough
I think my wound is infected,Infected wound
I have general discomfort in my torso.,Internal pain
After an hard working day I have foot ache,Foot ache
my head hurts me badly,Head ache
I feel pain in my throat,Cough
"I am worried how cold intolerant I am, I am always shivering, even out in the sun.",Feeling cold
i feel pain in my knee,Knee pain
Hearing any loud sounds makes my ear aches,Ear ache
i'm injured i can't play sports,Injury from sports
When i get up i see my skin vague,Skin issue
I get clusters of whiteheads and blackheads on my back.,Acne
"You won't believe me, but this infected wound on my hand is from a paper cut I didn't take seriously.",Infected wound
My husband has a spot on his lip that he though was cold sore but now it has broken open and leaks fluid all day.,Infected wound
I noticed an important decrease in my vision when I try to look at things up close.,Blurry vision
I think I overdid it when I carried all that lumber from the yard. My lower back is killing me.,Back pain
My back is hurting so much.,Back pain
I have a blurry vision after my head was hit yesterday.,Blurry vision
"I feel pain in my legs muscles after I ran yesterday, I took some pain killers but it doesn't help.",Muscle pain
I feel pain in my shoulders when I write on the keyboard.,Shoulder pain
The knee feels like it rusted and I suddenly cannot bend it anymore.,Knee pain
When I tried to take care if my hair I found that it is falling out,Hair falling out
I have pimples on my back.,Acne
I can't do anything I feel a weak in my body,Body feels weak
i can't ride my car at night because i have blurry vision.,Blurry vision
I just can't seem to get warm.  Even when everyone around me is warm I always feel cold.,Feeling cold
i have issue with my skin,Skin issue
Surgical wound infections,Infected wound
I carried a heavy bag yesterday and when I get up today I felt a great shoulder pain.,Shoulder pain
I feel cold and chills even though my clothes are heavy,Feeling cold
"The pain is intense especially when I go down the stairs, it feels like something has snapped inside my knee.",Knee pain
My shoulder hurts me so much,Shoulder pain
I can't walk because i have a great foot ache,Foot ache
"My body feels weak although I eat a lot, why?",Body feels weak
"I may have overdone it with the weightlifting, because I am afraid I may have torn a muscle on my back.",Injury from sports
I feel cold when the night comes,Feeling cold
"I hardly have enough stength to get up,",Body feels weak
My shoulder aches when I try to lift five pounds.,Shoulder pain
Everything looks like beeing in a smoky area.,Blurry vision
I cut my foot at the pool and it breaks open every day when I walk on it.,Open wound
The joints in my fingers are painful in the morning.,Joint pain
"I can't hear out of my ear properly, I feel like there is something in it causing irritation.",Ear ache
I get chills and aches all over.,Feeling cold
My ear is ringing.,Ear ache
My stomach feels full and upset  and bloating after big meals.,Stomach ache
"After playing tennis,  I had a powerful sensation close to my neck",Shoulder pain
When i'm doing sport I have pain under my skin,Muscle pain
I cannot get warm no matter how much I wrap up or how high I put the heating on,Feeling cold
There's swelling in my neck and it hurts.,Neck pain
It feels like someone is hitting my head with a hammer.  I feel pain on the top of my head and it throbs.,Head ache
When I'm tired I feel my head heavy,Head ache
I have a very rash sensation close to my arms,Skin issue
There are lots of hairs on my pillow in the morning.,Hair falling out
My sore isn't healing well and it's been like this for two weeks.,Open wound
Is pimples a skin disease?,Acne
I was very active in sports but now my body is feeling pain.,Injury from sports
There is a sharp pain in my calve.,Muscle pain
It hurts when I bent my arm,Joint pain
"I fell through a window while I was cleaning it and I have a shard of glass stuck in my left eye, I think it is pretty serious, please help!",Open wound
I get terrible headaches every few months and when I get them my vision is affected.,Head ache
I don't have the energy to do the things that I used to,Body feels weak
When i eat i feel my stomach hurts,Stomach ache
i feel pain in my body,Internal pain
i feel pain in my neck,Neck pain
"My stomach aches when I eat hot food, why?",Stomach ache
I have a foot ache although I don't walk a lot.,Foot ache
I have a feeling like my whole body is complaining,Joint pain
I have a break in the skin inside one of my nostrils that has become infected and is now filled with pus.,Infected wound
The acne was causing me to feel embarrassed.,Acne
I don't know why I'm constantly sad.,Emotional pain
"The pain is intense especially when I go down the stairs, it feels like something has snapped inside my knee.",Knee pain
"My left ear is ok, but the right one feels like it's being stabbed with a nail.",Ear ache
"my child has cough all night, she can't sleep",Cough
longitudinal burning line across back with hard respiratory movements,Back pain
There is a sharp pain in my bicep. I have tried to apply pain relief cream but it does not help.,Muscle pain
having difficulty moving my knee,Knee pain
I feel aching on my insides.,Internal pain
I have a headache almost every day,Head ache
I'm very worried that I'll go bald soon. Am I very sick?,Hair falling out
"When I drink a lot, I get a headache",Head ache
i have pain like needles in my joints.,Joint pain
My ankle joint throbs when I put pressure on my foot.,Joint pain
I have acne all over my face,Acne
I have difficulty in breathing in crowded places.,Hard to breath
"I have a blurry vision since I woke up this morning, what could be the reason?",Blurry vision
there pain in my foot,Foot ache
I feel very weak in my body,Body feels weak
I have a dry skin,Skin issue
When I do hard exercises I feel great pain in my muscles.,Muscle pain
I complain alot with my neck pain and i really need to be better,Neck pain
I feel suicidal.,Emotional pain
I feel pain in the lower back,Back pain
I feel a burning sensation in my shoulder muscle.,Muscle pain
My skin is itching.,Skin issue
I have a split on my thumb that will not heal.,Open wound
I feel pain in my eyes I can see fog,Blurry vision
I have an internal pain I cannot describe,Internal pain
"I have a blurry vision during my swimming training in the pool, why?",Blurry vision
My grandmother last year went to hospital because she was having a hard time breathing,Hard to breath
I can't get a girlfriend because of my acne.,Acne
Chronic bone disease at the level of the doubles of the lower Estremidades,Knee pain
I have tried to relief it but I can't,Body feels weak
My daughter had her ears pierced and one of her ear lobes is bright red and burning hot.,Infected wound
There is a sharp pain in my calve.,Muscle pain
I feel strong pain in my knee after it was hit during the football match.,Injury from sports
My head is spinning when I get up.,Feeling dizzy
cramps along the whole abdomen,Stomach ache
When I stand up too quickly I start to feel dizzy and light-headed,Feeling dizzy
"My skin color on my back is red, I don't know why.",Skin issue
I feel pain in my back,Back pain
I feel abdominal pain,Stomach ache
"I am worried for my driving, because I can barely focus when I am at the wheel, my eyes feel teary.",Blurry vision
I can`t stop coughing.,Cough
i have a very bad cough,Cough
i have a problem in seeing objects it is too difficult to see,Blurry vision
There is pain in my joints. I can not bear pain,Joint pain
It hurts when I raise my arm up,Shoulder pain
I feel pain when i think of her,Emotional pain
I was kicked in the head playing soccer last night.,Injury from sports
"i was playing basketball yesterday, i have sprained ankle",Injury from sports
My face break out badly every month around my cycle.,Acne
my neck hurts me and i can't look down or up,Neck pain
I have throbing in my shoulder,Shoulder pain
It feels like someone is hitting my head with a hammer.  I feel pain on the top of my head and it throbs.,Head ache
I hit myself and the would doesn't want to heal,Open wound
My acne itches and oozes.,Acne
is my cut infected or just healing?,Infected wound
Mr hair is falling out just by combing it.,Hair falling out
My knee doesn't want to bend well.,Knee pain
My face is all broken out with pimples.,Acne
My hair is falling out in bunches.,Hair falling out
I can't turn my neck to the left without feeling a stabbing pain,Neck pain
I have a very rash sensation close to my arms,Skin issue
I have the impression of having no strength in my body,Body feels weak
What helps cuts heal faster?,Open wound
I think I sprained my ankle it really hurts.,Injury from sports
My acne is really embarassing. It's so read.,Acne
My hair is falling out in bunches.,Hair falling out
In the morning my respiration is loud.,Hard to breath
It feels like my heart is going to leap out of my body. It hurts.,Heart hurts
My sore isn't healing well and it's been like this for two weeks.,Open wound
When i'm doing sport I have pain under my skin,Muscle pain
I have a rash and it itches very bad.,Skin issue
How do you know if you have a torn meniscus in your knee?,Knee pain
I have the impression of having no strength in my body,Body feels weak
I hit my head at the basketball game.  Could I have a concussion?,Injury from sports
My acne is really embarassing. It's so read.,Acne
I get chills and aches all over.,Feeling cold
When I play sports  I have some burning sensation in my spine,Back pain
"My mind feels very sad, as if it hurts.  The way I feel in my head is awful and when I think about my break-up, I cry with sadness.",Emotional pain
My skin is very dry and peeling.,Skin issue
When i'm driving my eyes see in double,Blurry vision
I was very active in sports but now my body is feeling pain.,Injury from sports
I have a cut that is red and swollen.,Infected wound
"When I walk up a flight of stairs, my right knee hurts.",Knee pain
I have constant stomach pain and bloating.,Internal pain
My back hurts me and i can't bend it or walk,Back pain
I feel heart pain when I walk a lot,Heart hurts
"My stomach aches when I eat hot food, why?",Stomach ache
I can't stop coughing,Cough
Hearing any loud sounds makes my ear aches,Ear ache
i'm injured i can't play sports,Injury from sports
"after playing football, i have muscle pain with my both legs.",Muscle pain
I get breakouts on my chest with red patches that get more intense when i get hot.,Acne
He was discovered to have an open wound.,Open wound
When I think of my parents I feel pain,Emotional pain
The knee feels like it rusted and I suddenly cannot bend it anymore.,Knee pain
I have pimples on my back.,Acne
Every time I look to left I feel a sharp pain in my neck.,Neck pain
I feel pain in my shoulders when I write on the keyboard.,Shoulder pain
I have a blurry vision after my head was hit yesterday.,Blurry vision
I wake up at night feeling cold,Feeling cold
When I play football I have muscle pain.,Muscle pain
"You won't believe me, but this infected wound on my hand is from a paper cut I didn't take seriously.",Infected wound
When I tried to take care if my hair I found that it is falling out,Hair falling out
"I fell through a window while I was cleaning it and I have a shard of glass stuck in my left eye, I think it is pretty serious, please help!",Open wound
Surgical wound infections,Infected wound
There are some pimples on my face that bother me a lot,Acne
